      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      2.6400   4.6964E+02       0.00766806       0.00117595
      2.6450   4.6875E+02       0.00740480       0.00110527
      2.6500   4.6786E+02       0.00715844       0.00104276
      2.6550   4.6698E+02       0.00692380       0.00097859
      2.6600   4.6611E+02       0.00669520       0.00090136
      2.6650   4.6523E+02       0.00647897       0.00081233
      2.6700   4.6436E+02       0.00629127       0.00072352
      2.6750   4.6349E+02       0.00614670       0.00064888
      2.6800   4.6263E+02       0.00605062       0.00059756
      2.6850   4.6177E+02       0.00600033       0.00057145
      2.6900   4.6091E+02       0.00598884       0.00056516
      2.6950   4.6005E+02       0.00600700       0.00056843
      2.7000   4.5920E+02       0.00604772       0.00057303
      2.7050   4.5835E+02       0.00611191       0.00058015
      2.7100   4.5751E+02       0.00620740       0.00059845
      2.7150   4.5666E+02       0.00633907       0.00063460
      2.7200   4.5582E+02       0.00649861       0.00068603
      2.7250   4.5499E+02       0.00666257       0.00074041
      2.7300   4.5415E+02       0.00680347       0.00078109
      2.7350   4.5332E+02       0.00690924       0.00079789
      2.7400   4.5250E+02       0.00699458       0.00079730
      2.7450   4.5167E+02       0.00709336       0.00080084
      2.7500   4.5085E+02       0.00723962       0.00083049
      2.7550   4.5003E+02       0.00745353       0.00089611
      2.7600   4.4922E+02       0.00773707       0.00099286
      2.7650   4.4841E+02       0.00807505       0.00110534
      2.7700   4.4760E+02       0.00844140       0.00121663
      2.7750   4.4679E+02       0.00881051       0.00131925
      2.7800   4.4599E+02       0.00916195       0.00141252
      2.7850   4.4519E+02       0.00947415       0.00148622
      2.7900   4.4439E+02       0.00972493       0.00151941
      2.7950   4.4359E+02       0.00990542       0.00150178
      2.8000   4.4280E+02       0.01002445       0.00144543
      2.8050   4.4201E+02       0.01009633       0.00137004
      2.8100   4.4122E+02       0.01013693       0.00129028
      2.8150   4.4044E+02       0.01017065       0.00121940
      2.8200   4.3966E+02       0.01022828       0.00117129
      2.8250   4.3888E+02       0.01033552       0.00115641
      2.8300   4.3811E+02       0.01050343       0.00117677
      2.8350   4.3733E+02       0.01072782       0.00122447
      2.8400   4.3656E+02       0.01099685       0.00128568
      2.8450   4.3580E+02       0.01130245       0.00134945
      2.8500   4.3503E+02       0.01164975       0.00141666
      2.8550   4.3427E+02       0.01205322       0.00149653
      2.8600   4.3351E+02       0.01252356       0.00159491
      2.8650   4.3275E+02       0.01306662       0.00171323
      2.8700   4.3200E+02       0.01369549       0.00185730
      2.8750   4.3125E+02       0.01443281       0.00203848
      2.8800   4.3050E+02       0.01529766       0.00226688
      2.8850   4.2975E+02       0.01629804       0.00254928
      2.8900   4.2901E+02       0.01744172       0.00289480
      2.8950   4.2827E+02       0.01875540       0.00332189
      2.9000   4.2753E+02       0.02029354       0.00385968
      2.9050   4.2680E+02       0.02213014       0.00454333
      2.9100   4.2606E+02       0.02434424       0.00540987
      2.9150   4.2533E+02       0.02700972       0.00649298
      2.9200   4.2460E+02       0.03018229       0.00780636
      2.9250   4.2388E+02       0.03385670       0.00930464
      2.9300   4.2315E+02       0.03788212       0.01083137
      2.9350   4.2243E+02       0.04189659       0.01211320
      2.9400   4.2171E+02       0.04541138       0.01288119
      2.9450   4.2100E+02       0.04808276       0.01306900
      2.9500   4.2029E+02       0.04995773       0.01288829
      2.9550   4.1957E+02       0.05142651       0.01269550
      2.9600   4.1887E+02       0.05289025       0.01273038
      2.9650   4.1816E+02       0.05448188       0.01296024
      2.9700   4.1746E+02       0.05611008       0.01323055
      2.9750   4.1675E+02       0.05767211       0.01346727
      2.9800   4.1605E+02       0.05917329       0.01366308
      2.9850   4.1536E+02       0.06076642       0.01387101
      2.9900   4.1466E+02       0.06270617       0.01426421
      2.9950   4.1397E+02       0.06511358       0.01497477
      3.0000   4.1328E+02       0.06774574       0.01586293
      3.0050   4.1259E+02       0.07007589       0.01658086
      3.0100   4.1191E+02       0.07164519       0.01683096
      3.0150   4.1122E+02       0.07237657       0.01657812
      3.0200   4.1054E+02       0.07257804       0.01607468
      3.0250   4.0987E+02       0.07261806       0.01560011
      3.0300   4.0919E+02       0.07263831       0.01519660
      3.0350   4.0851E+02       0.07260945       0.01475173
      3.0400   4.0784E+02       0.07252724       0.01421868
      3.0450   4.0717E+02       0.07246039       0.01367028
      3.0500   4.0651E+02       0.07246770       0.01321620
      3.0550   4.0584E+02       0.07255169       0.01292052
      3.0600   4.0518E+02       0.07274404       0.01283346
      3.0650   4.0452E+02       0.07318344       0.01301999
      3.0700   4.0386E+02       0.07402532       0.01343446
      3.0750   4.0320E+02       0.07533243       0.01386976
      3.0800   4.0255E+02       0.07713972       0.01418699
      3.0850   4.0189E+02       0.07955509       0.01451952
      3.0900   4.0124E+02       0.08264952       0.01509452
      3.0950   4.0060E+02       0.08623781       0.01590686
      3.1000   3.9995E+02       0.08985328       0.01670277
      3.1050   3.9930E+02       0.09300857       0.01724623
      3.1100   3.9866E+02       0.09551808       0.01750630
      3.1150   3.9802E+02       0.09763767       0.01766611
      3.1200   3.9739E+02       0.09992648       0.01802864
      3.1250   3.9675E+02       0.10280424       0.01872709
      3.1300   3.9612E+02       0.10617578       0.01948086
      3.1350   3.9548E+02       0.10964426       0.01985124
      3.1400   3.9485E+02       0.11310691       0.01977454
      3.1450   3.9423E+02       0.11689172       0.01966472
      3.1500   3.9360E+02       0.12126418       0.01993747
      3.1550   3.9298E+02       0.12604555       0.02059827
      3.1600   3.9236E+02       0.13078595       0.02137395
      3.1650   3.9174E+02       0.13527108       0.02214649
      3.1700   3.9112E+02       0.13985289       0.02318462
      3.1750   3.9050E+02       0.14525082       0.02497772
      3.1800   3.8989E+02       0.15198073       0.02787043
      3.1850   3.8928E+02       0.15995205       0.03192923
      3.1900   3.8867E+02       0.16856299       0.03712986
      3.1950   3.8806E+02       0.17696038       0.04339515
      3.2000   3.8745E+02       0.18408214       0.05027894
      3.2050   3.8685E+02       0.18887486       0.05668859
      3.2100   3.8624E+02       0.19097130       0.06095941
      3.2150   3.8564E+02       0.19111744       0.06148182
      3.2200   3.8504E+02       0.19095149       0.05791497
      3.2250   3.8445E+02       0.19238314       0.05176275
      3.2300   3.8385E+02       0.19671535       0.04537953
      3.2350   3.8326E+02       0.20402132       0.04056618
      3.2400   3.8267E+02       0.21325764       0.03790044
      3.2450   3.8208E+02       0.22291050       0.03688807
      3.2500   3.8149E+02       0.23163281       0.03662618
      3.2550   3.8090E+02       0.23854784       0.03643573
      3.2600   3.8032E+02       0.24324900       0.03614716
      3.2650   3.7974E+02       0.24557721       0.03591327
      3.2700   3.7916E+02       0.24539458       0.03573547
      3.2750   3.7858E+02       0.24272654       0.03530933
      3.2800   3.7800E+02       0.23821050       0.03437992
      3.2850   3.7743E+02       0.23318898       0.03306228
      3.2900   3.7685E+02       0.22911682       0.03171817
      3.2950   3.7628E+02       0.22695626       0.03075012
      3.3000   3.7571E+02       0.22699143       0.03045794
      3.3050   3.7514E+02       0.22876487       0.03076926
      3.3100   3.7457E+02       0.23120946       0.03123824
      3.3150   3.7401E+02       0.23328277       0.03153305
      3.3200   3.7345E+02       0.23461302       0.03177208
      3.3250   3.7288E+02       0.23544986       0.03228330
      3.3300   3.7232E+02       0.23620129       0.03322206
      3.3350   3.7177E+02       0.23717556       0.03450245
      3.3400   3.7121E+02       0.23863183       0.03601847
      3.3450   3.7066E+02       0.24077132       0.03778979
      3.3500   3.7010E+02       0.24331071       0.03964527
      3.3550   3.6955E+02       0.24514843       0.04088807
      3.3600   3.6900E+02       0.24499345       0.04077893
      3.3650   3.6845E+02       0.24243928       0.03935565
      3.3700   3.6791E+02       0.23812135       0.03744213
      3.3750   3.6736E+02       0.23292275       0.03593504
      3.3800   3.6682E+02       0.22726957       0.03521271
      3.3850   3.6628E+02       0.22113011       0.03503291
      3.3900   3.6574E+02       0.21446036       0.03480427
      3.3950   3.6520E+02       0.20749055       0.03400817
