      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      4.2934   2.8878E+02       0.00731551       0.00762230
      4.2984   2.8844E+02       0.00541165       0.00573738
      4.3034   2.8811E+02       0.00386426       0.00415172
      4.3084   2.8777E+02       0.00266054       0.00288744
      4.3134   2.8744E+02       0.00176466       0.00192976
      4.3184   2.8711E+02       0.00112681       0.00123927
      4.3234   2.8677E+02       0.00069235       0.00076468
      4.3284   2.8644E+02       0.00040919       0.00045335
      4.3334   2.8611E+02       0.00023258       0.00025824
      4.3384   2.8578E+02       0.00012717       0.00014133
      4.3434   2.8545E+02       0.00006705       0.00007432
      4.3484   2.8513E+02       0.00003449       0.00003756
      4.3534   2.8480E+02       0.00001828       0.00001836
      4.3584   2.8447E+02       0.00001206       0.00000984
      4.3634   2.8415E+02       0.00001315       0.00001153
      4.3684   2.8382E+02       0.00002199       0.00002300
      4.3734   2.8350E+02       0.00004214       0.00004645
      4.3784   2.8317E+02       0.00008103       0.00009033
      4.3834   2.8285E+02       0.00015107       0.00016879
      4.3884   2.8253E+02       0.00027110       0.00030306
      4.3934   2.8221E+02       0.00046762       0.00052280
      4.3984   2.8188E+02       0.00077503       0.00086650
      4.4034   2.8156E+02       0.00123418       0.00137985
      4.4084   2.8125E+02       0.00188828       0.00211116
      4.4134   2.8093E+02       0.00277579       0.00310342
      4.4184   2.8061E+02       0.00392043       0.00438318
      4.4234   2.8029E+02       0.00531999       0.00594793
      4.4284   2.7998E+02       0.00693611       0.00775481
      4.4334   2.7966E+02       0.00868861       0.00971416
      4.4384   2.7934E+02       0.01045715       0.01169145
      4.4434   2.7903E+02       0.01209219       0.01351948
      4.4484   2.7872E+02       0.01343462       0.01502037
      4.4534   2.7840E+02       0.01434085       0.01603355
      4.4584   2.7809E+02       0.01470797       0.01644402
      4.4634   2.7778E+02       0.01449305       0.01620372
      4.4684   2.7747E+02       0.01372130       0.01534088
      4.4734   2.7716E+02       0.01248129       0.01395451
      4.4784   2.7685E+02       0.01090819       0.01219573
      4.4834   2.7654E+02       0.00915956       0.01024070
      4.4884   2.7623E+02       0.00738967       0.00826191
      4.4934   2.7593E+02       0.00572802       0.00640412
      4.4984   2.7562E+02       0.00426592       0.00476944
      4.5034   2.7531E+02       0.00305246       0.00341275
      4.5084   2.7501E+02       0.00209853       0.00234623
      4.5134   2.7470E+02       0.00138615       0.00154976
      4.5184   2.7440E+02       0.00087970       0.00098353
      4.5234   2.7410E+02       0.00053640       0.00059971
      4.5284   2.7379E+02       0.00031424       0.00035133
      4.5334   2.7349E+02       0.00017688       0.00019776
      4.5384   2.7319E+02       0.00009566       0.00010695
      4.5434   2.7289E+02       0.00004970       0.00005557
      4.5484   2.7259E+02       0.00002481       0.00002774
      4.5534   2.7229E+02       0.00001190       0.00001331
      4.5584   2.7199E+02       0.00000548       0.00000613
      4.5634   2.7169E+02       0.00000243       0.00000272
      4.5684   2.7140E+02       0.00000103       0.00000116
      4.5734   2.7110E+02       0.00000042       0.00000047
      4.5784   2.7080E+02       0.00000017       0.00000019
      4.5834   2.7051E+02       0.00000006       0.00000007
      4.5884   2.7021E+02       0.00000002       0.00000003
      4.5934   2.6992E+02       0.00000001       0.00000001
      4.5984   2.6962E+02       0.00000000       0.00000000
      4.6034   2.6933E+02       0.00000000       0.00000000
      4.6084   2.6904E+02       0.00000000       0.00000000
